location,question,answer,perc,count
Appleton,1,Agronomist/Crop Advisor,15,5
Appleton,1,Industry Rep,27,9
Appleton,1,Extension/State/Fed agency,6,2
Appleton,1,Other,6,2
Appleton,2,Yes,21,6
Appleton,2,No,79,23
Appleton,3,Strongly agree,62,18
Appleton,3,Agree,38,11
Appleton,3,Neutral,0,0
Appleton,3,Disagree,0,0
Appleton,3,Strongly disagree,0,0
Appleton,4,Strongly agree,70,21
Appleton,4,Agree,27,8
Appleton,4,Neutral,0,0
Appleton,4,Disagree,3,1
Appleton,4,Strongly disagree,0,0
Appleton,5,Yes,88,23
Appleton,5,No but nearby,12,3
Appleton,5,No and not aware of any nearby,0,0
Appleton,5,I don't know ,0,0
Appleton,6,0%,7,2
Appleton,6,1-20%,30,8
Appleton,6,21-40%,15,4
Appleton,6,41-60%,11,3
Appleton,6,61-80%,7,2
Appleton,6,81-100%,30,8
Appleton,7,Strongly agree,46,12
Appleton,7,Agree,46,12
Appleton,7,Neutral,8,2
Appleton,7,Disagree,0,0
Appleton,7,Strongly disagree,0,0
Appleton,8,Strongly agree,45,10
Appleton,8,Agree,50,11
Appleton,8,Neutral,5,1
Appleton,8,Disagree,0,0
Appleton,8,Strongly disagree,0,0
Appleton,9,Strongly agree,37,11
Appleton,9,Agree,57,17
Appleton,9,Neutral,7,2
Appleton,9,Disagree,0,0
Appleton,9,Strongly disagree,0,0
Appleton,10,Strongly agree,55,16
Appleton,10,Agree,41,12
Appleton,10,Neutral,3,1
Appleton,10,Disagree,0,0
Appleton,10,Strongly disagree,0,0
Appleton,11,Strongly agree,38,11
Appleton,11,Agree,48,14
Appleton,11,Neutral,14,4
Appleton,11,Disagree,0,0
Appleton,11,Strongly disagree,0,0
Appleton,12,<100,13,4
Appleton,12,100-199,7,2
Appleton,12,200-499,7,2
Appleton,12,500-999,10,3
Appleton,12,"1,000-2,499",23,7
Appleton,12,"2,500-4,999",17,5
Appleton,12,"5,000-9,999",3,1
Appleton,12,">10,000",20,6
Appleton,13,$0 ,28,8
Appleton,13,$1-4,21,6
Appleton,13,$5-9,28,8
Appleton,13,$10-19,17,5
Appleton,13,$20+,7,2
Appleton,14,Strongly agree,45,14
Appleton,14,Agree,42,13
Appleton,14,Neutral,13,4
Appleton,14,Disagree,0,0
Appleton,14,Strongly disagree,0,0
Appleton,15,Strongly agree,12,3
Appleton,15,Agree,31,8
Appleton,15,Neutral,46,12
Appleton,15,Disagree,12,3
Appleton,15,Strongly disagree,0,0
